ID,Name,Age,Phone,Gender,Position,DateJoined,Password
A0001,Ms. Alice Tan,30,012-1231234,Female,ADMIN,2025-08-22,abc123
A0002,Mr. Benjamin Tan,35,017-2233445,Male,ADMIN,2024-07-15,abc123
A0003,Ms. Clara Lim,28,016-3344556,Female,ADMIN,2023-11-05,abc123
A0004,Mr. Daniel Ong,42,018-4455667,Male,ADMIN,2022-03-20,abc123
A0005,Ms. Evelyn Chua,31,013-5566778,Female,ADMIN,2025-01-12,abc123
A0006,Mr. Frank Lee,38,014-6677889,Male,ADMIN,2021-09-18,abc123
N0001,Ms. Catherine Lee,26,012-1231234,Female,NURSE,2025-08-22,abc123
N0002,Ms. Grace Wong,29,012-7788990,Female,NURSE,2023-04-22,abc123
N0003,Mr. Henry Lim,33,017-8899001,Male,NURSE,2022-12-10,abc123
N0004,Ms. Ivy Tan,27,016-9900112,Female,NURSE,2025-03-05,abc123
N0005,Mr. Jason Lee,36,018-1011121,Male,NURSE,2021-08-30,abc123
N0006,Ms. Karen Ng,30,013-1213141,Female,NURSE,2024-06-18,abc123
